Area_del_Edificio,Ano_de_Construccion,Tipo_de_Aislamiento,Numero_de_Ventanas,Sistema_Calefaccion,Sistema_Refrigeracion,Uso_del_Edificio,Ubicacion_Geografica,Medidas_Eficiencia_Energetica,Consumo_Energetico_Anual
296.96607676729616,1928,Básico,15,Moderado,Avanzado,Industrial,Minnesota,1,478.7000840718201
371.8352148675888,2004,Superior,17,Avanzado,Básico,Residencial,Utah,4,297.845979527169
321.24351923223975,1959,Básico,16,Básico,Avanzado,Residencial,Maryland,3,332.39963937319567
295.1974323486036,1992,Avanzado,1,Básico,Avanzado,Comercial,Pennsylvania,9,111.162624929776
240.6446597025071,1965,Básico,1,Avanzado,Avanzado,Industrial,Vermont,9,325.90211042078
340.65235087999525,1902,Moderado,16,Básico,Básico,Residencial,Minnesota,8,93.32009784122958
246.91424506821164,1993,Avanzado,12,Avanzado,Básico,Comercial,Oklahoma,4,206.3823202469212
451.2978503519359,1947,Moderado,12,Moderado,Moderado,Comercial,Minnesota,6,346.6331423706179
483.6482422254632,2006,Superior,4,Moderado,Básico,Industrial,Iowa,9,160.33784436719156
222.5486834716,1964,Básico,11,Moderado,Básico,Comercial,Minnesota,8,147.18759857391797
406.2762671371991,1971,Avanzado,4,Avanzado,Avanzado,Residencial,Oklahoma,5,158.59707127505132
288.002713888807,2013,Moderado,4,Avanzado,Avanzado,Residencial,Maine,7,220.381795310524
305.6200524922696,1969,Superior,3,Básico,Básico,Industrial,Vermont,6,127.95074730215852
466.5184872316975,1927,Básico,7,Avanzado,Avanzado,Residencial,Oklahoma,8,211.9852661297409
81.96622618904912,1966,Avanzado,17,Moderado,Moderado,Industrial,Utah,8,207.044143760808
89.20818486569331,1964,Avanzado,6,Moderado,Moderado,Residencial,Pennsylvania,6,186.1563087409533
59.09827884814658,1904,Superior,1,Avanzado,Moderado,Industrial,Iowa,2,195.62198449931944
424.6789304965721,1975,Avanzado,18,Básico,Avanzado,Comercial,Utah,5,352.9486888370695
400.1705379274327,1942,Básico,10,Avanzado,Avanzado,Comercial,Georgia,6,353.00993918550216
441.5054667110686,1931,Superior,9,Básico,Moderado,Industrial,Pennsylvania,1,240.2705272671872
490.3782540047438,1992,Avanzado,4,Moderado,Avanzado,Comercial,Maryland,10,92.54892408544286
409.6213538975256,1984,Avanzado,10,Avanzado,Básico,Comercial,Oklahoma,1,287.2397928046225
257.6657130138193,1940,Avanzado,13,Avanzado,Básico,Comercial,Maine,9,214.43804300379807
401.23812932890496,1905,Avanzado,10,Avanzado,Básico,Industrial,Oklahoma,5,310.5327764118393
103.22349164101996,2000,Avanzado,6,Moderado,Básico,Comercial,Pennsylvania,8,94.789066004783
337.9644595973857,1967,Moderado,0,Avanzado,Avanzado,Comercial,Minnesota,3,320.949222627563
114.50897933407089,1923,Avanzado,17,Básico,Moderado,Industrial,Minnesota,6,376.1451723148173
475.1010126723128,1929,Básico,4,Moderado,Avanzado,Comercial,Iowa,2,282.27605794065613
284.8317447875322,2016,Superior,5,Básico,Básico,Comercial,Maine,6,86.48854912626723
236.59787299573563,1993,Avanzado,8,Moderado,Moderado,Residencial,Georgia,10,78.8310008944005
169.0500254470821,1934,Avanzado,15,Avanzado,Moderado,Residencial,Minnesota,8,155.08385395928863
398.4051602453975,1987,Moderado,17,Avanzado,Avanzado,Comercial,Michigan,4,406.68156604042497
255.26764949744685,1961,Moderado,18,Básico,Avanzado,Comercial,Maine,8,373.4314385578748
305.7952769908918,1938,Básico,16,Moderado,Moderado,Comercial,Maryland,5,405.277598312721
58.45541019635981,1951,Básico,13,Moderado,Avanzado,Comercial,Iowa,5,292.5481470959815
327.9359736841447,2007,Básico,1,Avanzado,Básico,Industrial,Michigan,3,189.59133929746363
325.4430752250896,1955,Superior,16,Básico,Básico,Residencial,Georgia,9,91.8058535831313
327.6202985936406,1996,Superior,9,Avanzado,Moderado,Industrial,Georgia,7,288.8274323118787
474.6866353315809,1971,Moderado,15,Avanzado,Avanzado,Comercial,Minnesota,1,524.107746210975
356.81913459656755,1980,Moderado,8,Moderado,Avanzado,Industrial,Maryland,8,356.7225745360369
211.7785552582037,2004,Moderado,8,Básico,Avanzado,Industrial,Oklahoma,9,280.12658293770744
246.66437920970367,1925,Moderado,7,Básico,Básico,Residencial,Maine,6,195.24208480129005
363.9340381672692,1946,Moderado,5,Básico,Avanzado,Comercial,Pennsylvania,5,263.9305752945506
77.10146223317142,1949,Moderado,4,Avanzado,Avanzado,Comercial,Michigan,1,310.3051201927577
350.04502195055045,1948,Moderado,5,Básico,Básico,Residencial,Pennsylvania,8,14.527837079264856
351.7870413281717,1914,Moderado,3,Básico,Moderado,Industrial,Iowa,9,165.80406158801716
144.6721524832284,1968,Básico,6,Moderado,Moderado,Comercial,Oklahoma,7,266.0715107989871
108.01683394468398,1962,Moderado,12,Moderado,Avanzado,Residencial,Iowa,4,375.4074909301195
191.94275791588277,1904,Básico,14,Avanzado,Moderado,Comercial,Maryland,9,287.1876927379012
